"age","sex","ndepchld","wage","working","married","wage_ln","educ"
37,"female",2,830.769226074219,1,1,6.72235202789307,11
38,"female",4,NA,0,1,NA,10
46,"female",0,NA,0,1,NA,18
61,"female",0,NA,0,1,NA,10
48,"female",0,1091.47607421875,1,1,6.99528646469116,10
33,"female",1,NA,0,1,NA,11
38,"female",1,576.923095703125,1,1,6.35770893096924,11
60,"female",0,NA,0,1,NA,10
28,"female",2,403.846160888672,1,1,6.00103378295898,11
36,"female",1,NA,0,1,NA,11
62,"female",0,NA,0,1,NA,10
42,"female",3,500,1,1,6.21460819244385,13
53,"female",0,636.604797363281,1,1,6.45614910125732,10
43,"female",1,871.436279296875,1,1,6.77014255523682,11
51,"female",0,566.666687011719,1,1,6.33977127075195,13
37,"female",2,NA,0,1,NA,11
47,"female",1,NA,0,1,NA,10
34,"female",3,478.571441650391,1,1,6.17080545425415,14
60,"female",0,NA,0,1,NA,10
56,"female",0,528.994079589844,1,1,6.27097702026367,10
64,"female",0,NA,0,1,NA,10
50,"female",0,NA,0,1,NA,9
29,"female",3,NA,0,1,NA,15
53,"female",0,1338.46154785156,1,1,7.19927597045898,16
33,"female",3,NA,0,1,NA,14
47,"female",2,1263.73620605469,1,1,7.14182806015015,16
42,"female",0,700.265258789062,1,1,6.55145931243896,11
44,"female",0,NA,0,1,NA,11
39,"female",2,1531.53149414062,1,1,7.33402347564697,13
36,"female",3,1070.23413085938,1,1,6.9756326675415,11
31,"female",1,904.761901855469,1,1,6.80767202377319,11
36,"female",1,1384.61535644531,1,1,7.23317766189575,25
58,"female",0,462.5,1,1,6.13664674758911,10
30,"female",1,1282.05126953125,1,1,7.15621662139893,13
62,"female",0,NA,0,1,NA,10
32,"female",5,NA,0,1,NA,10
58,"female",0,NA,0,1,NA,10
29,"female",2,NA,0,1,NA,10
37,"female",2,693.333312988281,1,1,6.54151105880737,11
33,"female",1,1275.64099121094,1,1,7.15120410919189,15
28,"female",0,800,1,1,6.68461179733276,16
66,"female",0,NA,0,1,NA,10
28,"female",1,647.435913085938,1,1,6.47301959991455,13
48,"female",2,NA,0,1,NA,13
52,"female",0,569.166687011719,1,1,6.34417343139648,11
56,"female",0,NA,0,1,NA,10
